"Ticketnumber";"CREATE_TIME";"First_Assignment";"CLOSE_TIME";"NewProjectCreatedAt";"Minutes until Committed";"Minutes until Completed";"Minutes of Touchtime"
"4321";"16.05.2019 10:10:08";"03.09.2019 11:34:19";"17.09.2019 09:19:43";"12.06.2019 10:29:33";"119604";"139630";"60.00"
"4325";"09.07.2019 14:00:11";"07.08.2019 10:48:44";"17.09.2019 09:28:16";"20.08.2019 15:54:19";"1249";"60208";"78.00"
"4326";"13.08.2019 09:00:13";"15.08.2019 11:11:48";"17.09.2019 06:14:11";"";"132";"47354";
"4329";"29.07.2019 11:00:21";"16.09.2019 10:44:21";"17.09.2019 15:51:53";"";"25904";"27652";"20.00"
"4331";"04.09.2019 15:00:30";"04.09.2019 15:45:21";"17.09.2019 15:55:47";"";"45";"18775";"19.00"
"4333";"09.09.2019 11:20:11";"09.09.2019 13:53:55";"17.09.2019 09:42:09";"";"154";"11422";"40.00"
"4334";"09.09.2019 12:00:10";"16.09.2019 15:53:08";"17.09.2019 07:35:10";"";"10313";"11255";"8.00"
"4335";"09.09.2019 13:50:09";"09.09.2019 14:38:44";"17.09.2019 11:26:13";"10.09.2019 12:56:21";"49";"11376";"30.00"
"4341";"10.09.2019 13:20:09";"12.09.2019 06:11:54";"17.09.2019 15:16:49";"";"2452";"10197";"10.00"
"4342";"11.09.2019 16:10:08";"13.09.2019 14:34:09";"17.09.2019 11:19:57";"11.09.2019 17:54:38";"2784";"8350";
"4344";"12.09.2019 10:10:07";"13.09.2019 14:29:35";"17.09.2019 15:56:17";"";"1699";"7546";"20.00"
"4345";"12.09.2019 16:30:09";"16.09.2019 17:15:55";"17.09.2019 09:31:44";"";"5806";"6782";"15.00"
"4351";"13.09.2019 14:30:09";"16.09.2019 14:49:08";"17.09.2019 09:19:09";"";"4339";"5449";"12.00"
"4352";"16.09.2019 09:50:07";"16.09.2019 14:37:16";"17.09.2019 07:54:31";"";"287";"1324";"12.00"
"4356";"16.09.2019 10:50:09";"16.09.2019 11:15:42";"17.09.2019 15:33:03";"";"26";"1723";"5.00"
"4357";"16.09.2019 14:10:07";"16.09.2019 14:51:19";"17.09.2019 08:14:06";"";"41";"1084";"8.00"
"4362";"16.09.2019 14:40:07";"17.09.2019 10:07:58";"17.09.2019 13:55:09";"16.09.2019 15:39:52";"1168";"1395";"6.00"
"4364";"16.09.2019 15:30:08";"17.09.2019 07:50:31";"17.09.2019 07:50:50";"16.09.2019 15:31:22";"980";"981";
"4365";"16.09.2019 16:00:15";"17.09.2019 16:16:53";"17.09.2019 16:16:58";"16.09.2019 16:18:57";"1457";"1457";"10.00"
"4371";"16.09.2019 18:20:07";"17.09.2019 06:17:43";"17.09.2019 06:17:45";"";"718";"718";
"4401";"17.09.2019 07:00:10";"17.09.2019 08:03:22";"17.09.2019 11:45:45";"";"63";"286";
"4404";"17.09.2019 07:20:06";"17.09.2019 08:25:43";"17.09.2019 08:46:06";"";"66";"86";
"4408";"17.09.2019 07:50:12";"17.09.2019 08:22:02";"17.09.2019 08:24:31";"";"32";"34";
"4411";"17.09.2019 08:00:07";"17.09.2019 10:01:56";"17.09.2019 13:05:33";"";"122";"305";"5.00"
"4412";"17.09.2019 08:40:09";"17.09.2019 09:13:47";"17.09.2019 09:18:20";"";"34";"38";"3.00"
"4413";"17.09.2019 08:40:14";"17.09.2019 09:22:09";"17.09.2019 14:09:36";"";"42";"329";"13.00"
"4415";"17.09.2019 08:50:09";"17.09.2019 16:17:04";"17.09.2019 16:17:08";"";"447";"447";
"4416";"17.09.2019 09:10:11";"17.09.2019 09:17:20";"17.09.2019 09:35:42";"";"7";"26";
"4418";"17.09.2019 09:30:09";"17.09.2019 15:04:31";"17.09.2019 15:04:55";"";"334";"335";"5.00"
"4423";"17.09.2019 10:50:08";"17.09.2019 11:32:45";"17.09.2019 11:34:32";"";"43";"44";"5.00"
"4424";"17.09.2019 11:20:07";"17.09.2019 15:40:50";"17.09.2019 15:43:50";"";"261";"264";"5.00"
"4425";"17.09.2019 11:30:14";"17.09.2019 11:46:33";"17.09.2019 12:05:34";"";"16";"35";"5.00"
"4427";"17.09.2019 11:40:08";"17.09.2019 12:40:52";"17.09.2019 12:40:57";"";"61";"61";"1.00"
"4428";"17.09.2019 11:50:07";"17.09.2019 12:17:34";"17.09.2019 13:12:05";"";"27";"82";"15.00"
"4429";"17.09.2019 11:50:10";"17.09.2019 12:29:54";"17.09.2019 12:30:11";"";"40";"40";"5.00"
"4431";"17.09.2019 12:00:07";"17.09.2019 12:29:36";"17.09.2019 12:29:48";"";"29";"30";"5.00"
"4432";"17.09.2019 12:00:09";"17.09.2019 12:29:04";"17.09.2019 12:29:30";"";"29";"29";"5.00"
"4434";"17.09.2019 12:00:10";"17.09.2019 12:56:15";"17.09.2019 13:33:46";"17.09.2019 12:06:17";"56";"94";"6.00"
"4436";"17.09.2019 12:20:11";"17.09.2019 12:27:54";"17.09.2019 12:28:29";"";"8";"8";"5.00"
"4437";"17.09.2019 12:40:10";"17.09.2019 12:41:37";"17.09.2019 13:07:25";"";"1";"27";"5.00"
"4438";"17.09.2019 12:50:10";"17.09.2019 12:50:37";"17.09.2019 12:50:42";"";"0";"1";"1.00"
"4439";"17.09.2019 12:50:12";"17.09.2019 12:50:47";"17.09.2019 12:50:51";"";"1";"1";"1.00"
"4443";"17.09.2019 12:50:15";"17.09.2019 12:51:28";"17.09.2019 13:06:55";"";"1";"17";"4.00"
